datasets/train_10000.csv datasets/test_40000.csv

Train accuracy, Val accuracy
Epoch 1: 0.6108750104904175 0.7055000066757202
Epoch 2: 0.6955000162124634 0.7124999761581421
Epoch 3: 0.7127500176429749 0.7164999842643738
Epoch 4: 0.7147499918937683 0.7179999947547913
Epoch 5: 0.7286249995231628 0.7214999794960022
Epoch 6: 0.7353749871253967 0.7369999885559082
Epoch 7: 0.7400000095367432 0.7565000057220459
Epoch 8: 0.7363749742507935 0.7639999985694885
Epoch 9: 0.7536249756813049 0.7620000243186951
Epoch 10: 0.753125011920929 0.7634999752044678
Epoch 11: 0.7561249732971191 0.7595000267028809
Epoch 12: 0.7605000138282776 0.7649999856948853
Epoch 13: 0.7634999752044678 0.7664999961853027
Epoch 14: 0.7605000138282776 0.7724999785423279
Epoch 15: 0.7639999985694885 0.7689999938011169
Epoch 16: 0.7670000195503235 0.7705000042915344
Epoch 17: 0.768875002861023 0.765999972820282
Epoch 18: 0.7739999890327454 0.7760000228881836
Epoch 19: 0.7703750133514404 0.7730000019073486
Epoch 20: 0.7761250138282776 0.7754999995231628
Epoch 21: 0.7692499756813049 0.7770000100135803
Epoch 22: 0.7691249847412109 0.7705000042915344
Epoch 23: 0.7746250033378601 0.7674999833106995
Epoch 24: 0.7723749876022339 0.7764999866485596
Epoch 25: 0.7749999761581421 0.7799999713897705
Epoch 26: 0.7770000100135803 0.7804999947547913
Epoch 27: 0.7743750214576721 0.7754999995231628
Epoch 28: 0.7724999785423279 0.7820000052452087
Epoch 29: 0.777999997138977 0.7754999995231628
Epoch 30: 0.7762500047683716 0.784500002861023
Epoch 31: 0.7774999737739563 0.781000018119812
Epoch 32: 0.7771250009536743 0.7770000100135803
Epoch 33: 0.7791249752044678 0.781499981880188
Epoch 34: 0.7791249752044678 0.7785000205039978
Epoch 35: 0.7793750166893005 0.7760000228881836
Epoch 36: 0.7803750038146973 0.7754999995231628
Epoch 37: 0.784375011920929 0.7825000286102295
Epoch 38: 0.781000018119812 0.7854999899864197
Epoch 39: 0.7777500152587891 0.781000018119812
Epoch 40: 0.7826250195503235 0.7774999737739563
Epoch 41: 0.7823749780654907 0.7829999923706055
Epoch 42: 0.7832499742507935 0.7850000262260437
Epoch 43: 0.7796249985694885 0.7839999794960022
Epoch 44: 0.78125 0.7770000100135803
Epoch 45: 0.7826250195503235 0.7799999713897705
Epoch 46: 0.780875027179718 0.7889999747276306
Epoch 47: 0.7821249961853027 0.7829999923706055
Epoch 48: 0.7851250171661377 0.7795000076293945
Epoch 49: 0.7852500081062317 0.7820000052452087
Epoch 50: 0.7796249985694885 0.7835000157356262
Epoch 51: 0.7856249809265137 0.7804999947547913
Epoch 52: 0.781499981880188 0.7864999771118164
Epoch 53: 0.7796249985694885 0.7850000262260437
Epoch 54: 0.7900000214576721 0.7829999923706055
Epoch 55: 0.7871249914169312 0.781000018119812
Epoch 56: 0.7820000052452087 0.7860000133514404
Epoch 57: 0.7872499823570251 0.7850000262260437
Epoch 58: 0.7862499952316284 0.7789999842643738
Epoch 59: 0.784375011920929 0.7839999794960022
Epoch 60: 0.781000018119812 0.7835000157356262

DNN Final train acc: 0.781000018119812
DNN Test acc: 0.6643000245094299
